feature,importance_mean,importance_std
debug_directory_present,0.09156954156954158,0.00515052476120484
section_entropy_max,0.07950660450660453,0.006528685164567386
checksum_zero,0.05656565656565657,0.005948497916215445
user32_minus_crt_import_count,0.023912198912198916,0.002697840800030225
embedded_payload_ratio,0.014879564879564862,0.003219165887469538
entry_section_rwx,0.011577311577311582,0.0025344998337684752
section_max_raw_size,0.007847707847707852,0.00168718343050572
directory_presence_pattern,0.00751748251748251,0.0023854841304624843
standard_section_name_count,0.00718725718725719,0.0018752942325014994
nonstandard_section_name_count,0.005885780885780863,0.0017825564642212435
timestamp_implausible,0.0030108780108780114,0.0011565637643048924
