path,reason
C:\hiberfil.sys,Exception: Unable to access file 'C:\hiberfil.sys': [Errno 13] Permission denied: 'C:\\hiberfil.sys'
C:\pagefile.sys,Exception: Unable to access file 'C:\pagefile.sys': [Errno 13] Permission denied: 'C:\\pagefile.sys'
C:\swapfile.sys,Exception: Unable to access file 'C:\swapfile.sys': [Errno 13] Permission denied: 'C:\\swapfile.sys'
C:\altera\90\quartus\bin\icudt34.dll,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
C:\altera\90\quartus\bin\cygwin\usr\share\terminfo\a\ansi.sys,PEFormatError: 'DOS Header magic not found.'
C:\altera\90\quartus\bin\cygwin\usr\share\terminfo\n\nansi.sys,PEFormatError: 'DOS Header magic not found.'
C:\altera\90\quartus\bin64\icudt34.dll,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
C:\altera\90\quartus\drivers\sentinel\setup.exe,PEFormatError: 'Invalid NT Headers signature. Probably a NE file'
C:\altera\90\quartus\eda\synopsys\examples\tstrom.scr,PEFormatError: 'DOS Header magic not found.'
C:\altera\90\quartus\eda\synopsys\primetime\examples\run_pt.scr,PEFormatError: 'DOS Header magic not found.'
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\mingw64\bin\git-credential-manager.exe,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\jxrlib\jxrlib\bin\api-ms-win-core-console-l1-1-0.dll,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\jxrlib\jxrlib\bin\api-ms-win-core-console-l1-2-0.dll,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\jxrlib\jxrlib\bin\api-ms-win-core-datetime-l1-1-0.dll,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\jxrlib\jxrlib\bin\api-ms-win-core-debug-l1-1-0.dll,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\jxrlib\jxrlib\bin\api-ms-win-core-errorhandling-l1-1-0.dll,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\jxrlib\jxrlib\bin\api-ms-win-core-fibers-l1-1-0.dll,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\jxrlib\jxrlib\bin\api-ms-win-core-fibers-l1-1-1.dll,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\jxrlib\jxrlib\bin\api-ms-win-core-file-l1-1-0.dll,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
C:\Documents and Settings\yukiho\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\jxrlib\jxrlib\bin\api-ms-win-core-file-l1-2-0.dll,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'NoneType'"
