"sha","family","arch","static_likely_packed","ida_pack_warning","function_count","selected_count","decompiled_count","coverage","instruction_count","max_function_instructions","import_count","string_count","positive_sp","jumput","categories","quality","json_path"
"45b8245cf5adac610840dfcc8ec33802abad31403f2106d47733604f5f972369","berbew","x86","False","False","1","1","1","1.0","159","159","142","297","False","True","","pseudocode_candidate","D:\bodmas_ida_analysis\pilot\json\45b8245cf5adac610840dfcc8ec33802abad31403f2106d47733604f5f972369.json"
"9adcefc14ce74bb417a2fc9e091a1fcb552c1dab6c7c5e59252003f3369b27a5","drolnux","x86","False","False","67","30","30","1.0","1354","291","39","673","True","False","dynamic_resolution|memory_protection","pseudocode_candidate","D:\bodmas_ida_analysis\pilot\json\9adcefc14ce74bb417a2fc9e091a1fcb552c1dab6c7c5e59252003f3369b27a5.json"
"8e459b6b5996f01db839818cb66b2e0518b26470727662c446140273c27c7a70","gandcrab","x86","False","False","966","48","48","1.0","49797","2066","95","794","False","False","dynamic_resolution|memory_protection|persistence","pseudocode_candidate","D:\bodmas_ida_analysis\pilot\json\8e459b6b5996f01db839818cb66b2e0518b26470727662c446140273c27c7a70.json"
"15a0b51573ccc177aa6c0c1492c32fd45e21c286a88421e4263c0f1fb7c4e35b","mira","x86","False","False","1109","48","48","1.0","64164","1490","76","439","False","False","persistence","pseudocode_candidate","D:\bodmas_ida_analysis\pilot\json\15a0b51573ccc177aa6c0c1492c32fd45e21c286a88421e4263c0f1fb7c4e35b.json"
"9a47b8b4b2f4d8315330236eca2d45a6cc6eeee59621a048248e0a6ffe47c944","musecador","x86","False","False","130","17","17","1.0","499","118","114","243","True","False","","pseudocode_candidate","D:\bodmas_ida_analysis\pilot\json\9a47b8b4b2f4d8315330236eca2d45a6cc6eeee59621a048248e0a6ffe47c944.json"
"02d80e149fdea23a134d90257fe6a59bc528b11d1dbd75b985fc88eb735792b3","small","x86","False","False","125","15","15","1.0","7689","595","54","237","False","False","persistence","pseudocode_candidate","D:\bodmas_ida_analysis\pilot\json\02d80e149fdea23a134d90257fe6a59bc528b11d1dbd75b985fc88eb735792b3.json"
"23ecc0b9b8ff0135eeb3012d996220a22a86da723148bc2968ec3e5de316e92d","vools","x64","False","False","423","48","48","1.0","17349","620","97","715","False","False","anti_analysis|dynamic_resolution|memory_protection|persistence","pseudocode_candidate","D:\bodmas_ida_analysis\pilot\json\23ecc0b9b8ff0135eeb3012d996220a22a86da723148bc2968ec3e5de316e92d.json"
"bacc0a4111f215eccb04ffe8790e8493e404b31d429978dcdb359620323ce9cc","wabot","x86","False","False","359","48","48","1.0","8838","369","89","392","True","False","network","pseudocode_candidate","D:\bodmas_ida_analysis\pilot\json\bacc0a4111f215eccb04ffe8790e8493e404b31d429978dcdb359620323ce9cc.json"
"5305436a9f4ecbaf13e88d5ac22ecfe2c829c89af14eb85539d819e8fb6f9ccd","benjamin","x86","True","False","1","1","1","1.0","34","34","15","648","True","True","","unpacking_or_obfuscated","D:\bodmas_ida_analysis\pilot\json\5305436a9f4ecbaf13e88d5ac22ecfe2c829c89af14eb85539d819e8fb6f9ccd.json"
"ca48acfc87d05d5160da281106b97858186a016b3bef3c214543455ac6f93e15","ceeinject","x86","True","False","6","6","6","1.0","60","31","91","2005","True","False","","unpacking_or_obfuscated","D:\bodmas_ida_analysis\pilot\json\ca48acfc87d05d5160da281106b97858186a016b3bef3c214543455ac6f93e15.json"
"82b018ed5893af29a0fa1a7966c842db495b125f767cd5625a9bda8b002e4e8d","dinwod","x86","True","True","5","5","5","1.0","747","453","2","321","True","False","","unpacking_or_obfuscated","D:\bodmas_ida_analysis\pilot\json\82b018ed5893af29a0fa1a7966c842db495b125f767cd5625a9bda8b002e4e8d.json"
"af5c66cc81f92465cb3b4d13ad719f91017112cb4496185c97eca2b1844afcc5","upatre","x86","False","False","2","2","2","1.0","311","300","25","30","False","False","network|persistence","unpacking_or_obfuscated","D:\bodmas_ida_analysis\pilot\json\af5c66cc81f92465cb3b4d13ad719f91017112cb4496185c97eca2b1844afcc5.json"
"0f6e6d6c07b4b336298d9e747a38b9018ec3b35fa34ad85f448254b8d5b47601","wacatac","x86","True","True","5","5","5","1.0","747","453","2","321","True","False","","unpacking_or_obfuscated","D:\bodmas_ida_analysis\pilot\json\0f6e6d6c07b4b336298d9e747a38b9018ec3b35fa34ad85f448254b8d5b47601.json"
"7b17e9b99613ba5cedca5a31e988a2ed03a81df3c9d660c7a0c1bbfc09542fb9","wacatac","x64","True","True","1","1","1","1.0","885","885","11","1866","True","True","dynamic_resolution|memory_protection","unpacking_or_obfuscated","D:\bodmas_ida_analysis\pilot\json\7b17e9b99613ba5cedca5a31e988a2ed03a81df3c9d660c7a0c1bbfc09542fb9.json"
"4c05a51a2ecb5a4d02076651a84f85c73f7b4bc8102315266c124ece195aa196","sfone","x86","True","True","0","0","0","0.0","0","0","9","238","False","False","","unusable","D:\bodmas_ida_analysis\pilot\json\4c05a51a2ecb5a4d02076651a84f85c73f7b4bc8102315266c124ece195aa196.json"
