"pilot_group","dataset_sha256","family","batch_id","size_bytes","pe_kind","import_count","max_exec_entropy","likely_packed","path"
"clean_candidate","02d80e149fdea23a134d90257fe6a59bc528b11d1dbd75b985fc88eb735792b3","small","batch_5","581568","PE32","54","6.3639","False","D:\bodmas_malware_dataset_batches_ida\batch_5\02d80e149fdea23a134d90257fe6a59bc528b11d1dbd75b985fc88eb735792b3.exe"
"clean_candidate","bacc0a4111f215eccb04ffe8790e8493e404b31d429978dcdb359620323ce9cc","wabot","batch_5","526429","PE32","89","6.5725","False","D:\bodmas_malware_dataset_batches_ida\batch_5\bacc0a4111f215eccb04ffe8790e8493e404b31d429978dcdb359620323ce9cc.exe"
"clean_candidate","45b8245cf5adac610840dfcc8ec33802abad31403f2106d47733604f5f972369","berbew","batch_1","540672","PE32","142","7.1585","False","D:\bodmas_malware_dataset_batches_ida\batch_1\45b8245cf5adac610840dfcc8ec33802abad31403f2106d47733604f5f972369.exe"
"clean_candidate","9a47b8b4b2f4d8315330236eca2d45a6cc6eeee59621a048248e0a6ffe47c944","musecador","batch_3","483176","PE32","114","6.0586","False","D:\bodmas_malware_dataset_batches_ida\batch_3\9a47b8b4b2f4d8315330236eca2d45a6cc6eeee59621a048248e0a6ffe47c944.exe"
"clean_candidate","8e459b6b5996f01db839818cb66b2e0518b26470727662c446140273c27c7a70","gandcrab","batch_4","367113","PE32","95","6.658","False","D:\bodmas_malware_dataset_batches_ida\batch_4\8e459b6b5996f01db839818cb66b2e0518b26470727662c446140273c27c7a70.exe"
"clean_candidate","9adcefc14ce74bb417a2fc9e091a1fcb552c1dab6c7c5e59252003f3369b27a5","drolnux","batch_4","512548","PE32","39","5.7363","False","D:\bodmas_malware_dataset_batches_ida\batch_4\9adcefc14ce74bb417a2fc9e091a1fcb552c1dab6c7c5e59252003f3369b27a5.exe"
"clean_candidate","15a0b51573ccc177aa6c0c1492c32fd45e21c286a88421e4263c0f1fb7c4e35b","mira","batch_5","523777","PE32","76","6.0805","False","D:\bodmas_malware_dataset_batches_ida\batch_5\15a0b51573ccc177aa6c0c1492c32fd45e21c286a88421e4263c0f1fb7c4e35b.exe"
"clean_candidate","af5c66cc81f92465cb3b4d13ad719f91017112cb4496185c97eca2b1844afcc5","upatre","batch_3","495324","PE32","25","5.2545","False","D:\bodmas_malware_dataset_batches_ida\batch_3\af5c66cc81f92465cb3b4d13ad719f91017112cb4496185c97eca2b1844afcc5.exe"
"packed_candidate","82b018ed5893af29a0fa1a7966c842db495b125f767cd5625a9bda8b002e4e8d","dinwod","batch_4","514251","PE32","2","7.6895","True","D:\bodmas_malware_dataset_batches_ida\batch_4\82b018ed5893af29a0fa1a7966c842db495b125f767cd5625a9bda8b002e4e8d.exe"
"packed_candidate","5305436a9f4ecbaf13e88d5ac22ecfe2c829c89af14eb85539d819e8fb6f9ccd","benjamin","batch_5","512542","PE32","15","0.0","True","D:\bodmas_malware_dataset_batches_ida\batch_5\5305436a9f4ecbaf13e88d5ac22ecfe2c829c89af14eb85539d819e8fb6f9ccd.exe"
"packed_candidate","ca48acfc87d05d5160da281106b97858186a016b3bef3c214543455ac6f93e15","ceeinject","batch_3","491521","PE32","91","7.0783","True","D:\bodmas_malware_dataset_batches_ida\batch_3\ca48acfc87d05d5160da281106b97858186a016b3bef3c214543455ac6f93e15.exe"
"packed_candidate","4c05a51a2ecb5a4d02076651a84f85c73f7b4bc8102315266c124ece195aa196","sfone","batch_2","511171","PE32","9","7.9439","True","D:\bodmas_malware_dataset_batches_ida\batch_2\4c05a51a2ecb5a4d02076651a84f85c73f7b4bc8102315266c124ece195aa196.exe"
"clean_x64","23ecc0b9b8ff0135eeb3012d996220a22a86da723148bc2968ec3e5de316e92d","vools","batch_1","129024","PE32+","97","6.3897","False","D:\bodmas_malware_dataset_batches_ida\batch_1\23ecc0b9b8ff0135eeb3012d996220a22a86da723148bc2968ec3e5de316e92d.exe"
