dataset_sha256,family,pilot_group,path
005032cbc39e610b3e2e99239bc685279ddc806a97318f05fbe749c3c071095c,benign,existing_benign,E:\StudyFiles\project\yukiho\maldataset\benign\005032cbc39e610b3e2e99239bc685279ddc806a97318f05fbe749c3c071095c.dll
8418c1156dc2c7d29ddd69a33376d679ea13d1a75b57ce75a17042781a7f896f,benign,existing_benign,E:\StudyFiles\project\yukiho\maldataset\benign\8418c1156dc2c7d29ddd69a33376d679ea13d1a75b57ce75a17042781a7f896f.exe
02b70950accb922a66593f33c9ba6f6e85ec77e413a608cdc55fdbb7b73b0a03,benign,generated_win32_api,E:\StudyFiles\project\yukiho\maldataset\benign\02b70950accb922a66593f33c9ba6f6e85ec77e413a608cdc55fdbb7b73b0a03.exe
920552a6b2e1233141f7297b2dfcb39d5af7767fc9d67ae8ffc0eef7294e4ec5,benign,generated_win32_api,E:\StudyFiles\project\yukiho\maldataset\benign\920552a6b2e1233141f7297b2dfcb39d5af7767fc9d67ae8ffc0eef7294e4ec5.exe
0945da9d00b2629379df481a2be0d9d420c05a727ec2dcbc16255acfd76a8cb3,benign,dike_batch3,E:\StudyFiles\project\yukiho\maldataset\benign\0945da9d00b2629379df481a2be0d9d420c05a727ec2dcbc16255acfd76a8cb3.exe
077a5c96cfd8644425f870444b604bfe3aa62587073fd85a4dc75244775b99ab,benign,dike_batch7,E:\StudyFiles\project\yukiho\maldataset\benign\077a5c96cfd8644425f870444b604bfe3aa62587073fd85a4dc75244775b99ab.exe
000bd8b072994238a0716e6011d85bbbb5d745d921809a31030fd9e39dcdea51,malware,virusshare,E:\StudyFiles\project\yukiho\maldataset\malware\000bd8b072994238a0716e6011d85bbbb5d745d921809a31030fd9e39dcdea51.exe
85b978999858ed540b78bc4e16c78fe0ebba579a0bd004798eb9dce87762ed28,malware,virusshare,E:\StudyFiles\project\yukiho\maldataset\malware\85b978999858ed540b78bc4e16c78fe0ebba579a0bd004798eb9dce87762ed28.exe
0240d758044d786cd8036352cc23f407cd64c0bb4be44ab26432812f284a2a96,malware,malware_database,E:\StudyFiles\project\yukiho\maldataset\malware\0240d758044d786cd8036352cc23f407cd64c0bb4be44ab26432812f284a2a96.exe
63545fa195488ff51955f09833332b9660d18f8afb16bdf579134661962e548a,malware,malware_database,E:\StudyFiles\project\yukiho\maldataset\malware\63545fa195488ff51955f09833332b9660d18f8afb16bdf579134661962e548a.exe
012a50629c3cf1e2a2e5133b729c2ac7765cf4115187b1da36303b91a1f7da7a,malware,dike_batch1,E:\StudyFiles\project\yukiho\maldataset\malware\012a50629c3cf1e2a2e5133b729c2ac7765cf4115187b1da36303b91a1f7da7a.exe
114a8b27c6b27cbd9fd2ef1ad76fe759fc31651ba9b4662f6ac2c8b5740c58ca,malware,dike_batch10,E:\StudyFiles\project\yukiho\maldataset\malware\114a8b27c6b27cbd9fd2ef1ad76fe759fc31651ba9b4662f6ac2c8b5740c58ca.exe
